success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,sona_id,ID,view_history,rt,typeoftrial,stimulus,response,sentence,novel1,novel2,novel3,correct,cue,target,type,prime,relatedness,correct_key,block_number,question_order
,,,,,html-keyboard-response,34,125771,0.0-2.0-0.0-0.30,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2193,sentence,"In the end, I decided I'd go looking for a foobly apple.", ,"In the end, I decided I'd go looking for a foobly apple.",foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,35,128417,0.0-2.0-0.0-0.31,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2644,sentence,It's absolutely amazing to get to see a mipp in person., ,It's absolutely amazing to get to see a mipp in person.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,36,130817,0.0-2.0-0.0-0.32,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2398,sentence,Sometimes I wish it were easier to get a mipp., ,Sometimes I wish it were easier to get a mipp.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,37,133220,0.0-2.0-0.0-0.33,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2400,sentence,I went out early to look for a geck., ,I went out early to look for a geck.,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,38,136863,0.0-2.0-0.0-0.34,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,3641,sentence,I thought maybe I'd see a mipp on the next day., ,I thought maybe I'd see a mipp on the next day.,mipp,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,39,141870,0.0-2.0-0.0-0.35,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,null,sentence,They also said that they would really like to see a geck.,null,They also said that they would really like to see a geck.,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,survey-text,40,146201,0.0-2.0-0.0-1.35-0.35,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,4326,attention,,geck,,dodish,geck,NOT_FOUND,1,,,,,,,,
,,,,,html-keyboard-response,41,149019,0.0-2.0-0.0-0.36,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2817,sentence,I imagined that I would find a mipp in Zimziland., ,I imagined that I would find a mipp in Zimziland.,mipp,Zimziland,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,42,151730,0.0-2.0-0.0-0.37,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2709,sentence,"I stayed there for a couple of days, hoping I would find a geck.", ,"I stayed there for a couple of days, hoping I would find a geck.",dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,43,153304,0.0-2.0-0.0-0.38,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,1572,sentence,I would like to have a geck., ,I would like to have a geck.,dodish,geck,NOT_FOUND,,,,,,,,,
